service_tier,promised_transit_days,handling_lead_days,serve_distance_km,line_count,unit_total,consignment_value,mean_markdown,same_day_workload,zone_weekly_bookings,arrival_slip_days
3.0,4.0,6.0,2272.3976954656987,4.0,7.0,779.9700164999999,0.09749999625,51.0,120.0,2.0
3.0,4.0,3.0,2267.5404855019997,5.0,11.0,729.89001464,0.117999999,51.0,60.0,-1.0
3.0,4.0,2.0,1303.2693852323077,4.0,13.0,649.8300018,0.10750000074999999,51.0,120.0,-2.0
3.0,4.0,4.0,3559.1959705606637,1.0,1.0,199.9900055,0.01,51.0,120.0,0.0
2.0,2.0,5.0,603.9288822036383,5.0,16.0,1499.8700256,0.1499999984,51.0,120.0,3.0
3.0,4.0,3.0,2272.6801882637133,1.0,3.0,119.9700012,0.050000001,51.0,120.0,-1.0
3.0,4.0,4.0,1508.9003489968377,2.0,4.0,279.93000789999996,0.090000004,51.0,120.0,0.0
1.0,1.0,2.0,2269.183705137611,2.0,6.0,699.9300232,0.1750000045,51.0,120.0,1.0
2.0,2.0,3.0,1571.8895763010444,1.0,4.0,199.9199982,0.100000001,51.0,120.0,1.0
2.0,2.0,4.0,3501.9276745640173,1.0,4.0,99.95999908,0.059999999,51.0,120.0,2.0
3.0,4.0,5.0,3739.8633248588044,4.0,7.0,739.9100227399999,0.10000000049999999,51.0,120.0,1.0
1.0,1.0,2.0,2272.9906192425865,1.0,5.0,199.9499969,0.119999997,51.0,120.0,1.0
2.0,2.0,2.0,1867.06174495648,3.0,4.0,529.93001558,0.08999999866666668,51.0,60.0,0.0
2.0,2.0,3.0,1066.1999891626956,1.0,5.0,124.9499969,0.25,51.0,60.0,1.0
3.0,4.0,4.0,2273.6150578346587,2.0,3.0,229.9900055,0.055,51.0,120.0,0.0
2.0,2.0,5.0,2268.469262591048,4.0,11.0,1099.9300232,0.18750000175,51.0,48.0,3.0
2.0,2.0,6.0,3758.1671644728654,3.0,6.0,549.9400101,0.09000000033333333,51.0,48.0,4.0
2.0,2.0,2.0,1853.0335524923805,4.0,4.0,899.9400253599999,0.155000001,51.0,120.0,0.0
3.0,4.0,4.0,582.7970945497693,3.0,7.0,829.9200287,0.10999999866666667,51.0,120.0,0.0
3.0,4.0,5.0,3143.312541129538,3.0,4.0,549.9500199,0.106666668,51.0,120.0,1.0
3.0,4.0,6.0,362.4195648469239,3.0,6.0,429.9400101,0.10333333233333335,51.0,120.0,2.0
3.0,4.0,2.0,1881.4060967157893,1.0,1.0,99.98999786,0.150000006,51.0,120.0,-2.0
3.0,4.0,3.0,1358.2270597632748,5.0,13.0,1039.9500198599999,0.039999999800000005,51.0,48.0,-1.0
3.0,4.0,6.0,1409.7565515072454,5.0,8.0,594.93001556,0.1320000006,51.0,120.0,2.0
3.0,4.0,2.0,3466.0759677662068,1.0,5.0,249.8999939,0.02,51.0,120.0,-2.0
3.0,4.0,4.0,1283.5580358718069,4.0,8.0,619.87001414,0.08,51.0,60.0,0.0
0.0,0.0,0.0,1818.7978381976698,1.0,4.0,239.9600067,0.090000004,51.0,60.0,1.0
3.0,4.0,6.0,3135.2275319198748,2.0,2.0,599.960022,0.0649999995,51.0,60.0,2.0
3.0,4.0,2.0,3053.6099100577408,5.0,9.0,795.9100112799999,0.0719999998,51.0,48.0,-2.0
3.0,4.0,4.0,2272.463562082756,3.0,3.0,309.980011,0.16000000366666667,51.0,60.0,0.0
3.0,4.0,5.0,2607.007406833506,3.0,8.0,485.8800049,0.09333333366666667,51.0,60.0,1.0
1.0,1.0,2.0,1299.5121085553506,4.0,8.0,809.96001054,0.09499999825,51.0,60.0,1.0
3.0,4.0,2.0,2270.3244730694646,4.0,10.0,1029.9300232,0.05249999875,51.0,120.0,-2.0
3.0,4.0,3.0,3175.849723592566,5.0,6.0,939.90002062,0.086,51.0,60.0,-1.0
3.0,4.0,4.0,3718.6098303254807,3.0,10.0,529.9400024,0.116666667,51.0,48.0,0.0
3.0,4.0,5.0,2270.727000882555,1.0,1.0,399.980011,0.100000001,51.0,48.0,1.0
3.0,4.0,3.0,2248.907876810649,3.0,3.0,579.9700164999999,0.11000000466666666,51.0,60.0,-1.0
3.0,4.0,5.0,3140.628764949024,1.0,5.0,249.8999939,0.01,51.0,60.0,1.0
3.0,4.0,6.0,1569.4400867529775,4.0,9.0,629.92000578,0.099999998,51.0,48.0,2.0
3.0,4.0,2.0,2141.61309031459,3.0,7.0,824.9100189,0.09333333433333334,51.0,120.0,-2.0
3.0,4.0,3.0,1551.7291076126169,4.0,12.0,614.92000194,0.08750000275,51.0,120.0,-1.0
2.0,2.0,4.0,812.9115666523039,3.0,11.0,639.9100189000001,0.07999999933333334,51.0,48.0,2.0
3.0,4.0,5.0,619.7126179798134,1.0,1.0,59.99000168,0.07,51.0,48.0,1.0
3.0,4.0,6.0,1359.646523300226,3.0,4.0,209.97000508,0.10999999666666667,51.0,60.0,2.0
3.0,4.0,2.0,467.0768366941194,1.0,1.0,299.980011,0.0,51.0,60.0,-2.0
3.0,4.0,3.0,2269.5653748418845,2.0,10.0,599.9000244,0.0950000025,51.0,60.0,-1.0
3.0,4.0,5.0,1377.2263481817508,3.0,5.0,509.95001221999996,0.09000000133333334,60.0,120.0,1.0
3.0,4.0,6.0,2269.2459769846582,5.0,11.0,1249.9000244,0.1320000016,60.0,60.0,2.0
3.0,4.0,2.0,2270.0633496092973,3.0,7.0,289.95999908,0.063333335,60.0,60.0,-2.0
2.0,2.0,3.0,603.9288822036383,1.0,1.0,129.9900055,0.129999995,60.0,120.0,1.0
3.0,4.0,4.0,2273.3063068959614,4.0,8.0,1139.9000244,0.08000000025000001,60.0,120.0,0.0
3.0,4.0,6.0,2291.8265248312873,3.0,7.0,289.92000194,0.08333333333333333,60.0,48.0,2.0
3.0,4.0,2.0,2601.968878886911,4.0,6.0,629.95001604,0.11250000225000001,60.0,48.0,-2.0
3.0,4.0,3.0,2299.7567638445894,2.0,4.0,429.9600067,0.055000002,60.0,120.0,-1.0
3.0,4.0,4.0,1547.7482275594275,3.0,8.0,479.9900055,0.033333333,60.0,120.0,0.0
0.0,0.0,0.0,3476.7390524848247,2.0,8.0,429.8699951,0.035,60.0,120.0,0.0
3.0,4.0,6.0,2300.0023671154154,1.0,1.0,129.9900055,0.059999999,60.0,120.0,2.0
2.0,2.0,2.0,2268.734808833159,3.0,6.0,325.96000672,0.043333333333333335,60.0,48.0,0.0
2.0,2.0,3.0,2271.2470369257344,5.0,12.0,577.88000868,0.08799999820000001,60.0,48.0,1.0
2.0,2.0,5.0,1234.0734157710137,4.0,9.0,799.8500137999999,0.1449999995,60.0,48.0,3.0
2.0,2.0,6.0,2274.0487965390635,1.0,2.0,119.9800034,0.100000001,60.0,60.0,4.0
1.0,1.0,2.0,1260.664667198738,1.0,1.0,49.97999954,0.059999999,60.0,120.0,1.0
1.0,1.0,2.0,2273.4746023105017,1.0,2.0,199.9799957,0.01,60.0,120.0,1.0
1.0,1.0,2.0,2270.9655545960536,1.0,1.0,399.980011,0.029999999,60.0,120.0,1.0
2.0,2.0,5.0,1441.5668167658307,5.0,16.0,1033.81001282,0.06199999860000001,60.0,120.0,3.0
3.0,4.0,6.0,2267.7714980441615,1.0,2.0,199.9799957,0.0,60.0,48.0,2.0
3.0,4.0,2.0,2272.0247333770776,4.0,5.0,749.9700164999999,0.0499999995,60.0,48.0,-2.0
3.0,4.0,3.0,1387.890017147342,4.0,4.0,1029.9300385,0.11499999925,60.0,48.0,-1.0
3.0,4.0,4.0,2268.706315891258,2.0,6.0,159.94000248,0.1450000035,60.0,48.0,0.0
3.0,4.0,5.0,1585.9511046849104,5.0,19.0,1369.8100281,0.0360000002,60.0,60.0,1.0
3.0,4.0,6.0,2271.8639469986665,5.0,16.0,1333.8400154400001,0.046000001199999994,60.0,120.0,2.0
3.0,4.0,2.0,2729.329532264567,4.0,7.0,619.93001938,0.062500001,60.0,120.0,-2.0
2.0,2.0,3.0,3523.7388703184583,4.0,5.0,919.9400254,0.05249999975,60.0,120.0,1.0
2.0,2.0,4.0,1568.5693253617267,2.0,5.0,699.9400025,0.18499999849999998,60.0,48.0,2.0
2.0,2.0,6.0,1573.7976177074065,5.0,9.0,629.89001082,0.13400000080000002,60.0,120.0,4.0
2.0,2.0,2.0,2752.1942584498333,4.0,12.0,1239.87003708,0.0824999995,60.0,120.0,0.0
3.0,4.0,3.0,3145.3171073509334,5.0,7.0,819.93001556,0.033999999600000004,60.0,120.0,-1.0
2.0,2.0,4.0,2135.970779574928,1.0,4.0,139.9600067,0.180000007,60.0,120.0,2.0
2.0,2.0,5.0,2267.5459622597814,4.0,8.0,659.9100151299999,0.05000000025,60.0,120.0,3.0
1.0,1.0,2.0,2899.08215930554,2.0,4.0,419.9500122,0.0600000015,60.0,120.0,1.0
3.0,4.0,3.0,1243.5737763673524,4.0,6.0,799.91000364,0.19250000075,60.0,120.0,-1.0
3.0,4.0,4.0,1034.066265797286,2.0,2.0,449.96001054,0.125000002,60.0,120.0,0.0
3.0,4.0,5.0,1565.042025879733,1.0,4.0,239.9600067,0.02,60.0,48.0,1.0
3.0,4.0,6.0,3772.4534359819927,5.0,7.0,1029.90001678,0.156000004,60.0,48.0,2.0
3.0,4.0,2.0,2269.7507639024425,4.0,7.0,514.9400138999999,0.087500002,60.0,48.0,-2.0
3.0,4.0,3.0,1115.731380123393,1.0,1.0,399.980011,0.170000002,60.0,48.0,-1.0
3.0,4.0,5.0,2289.434319010161,5.0,15.0,699.87999716,0.0579999998,60.0,48.0,1.0
3.0,4.0,6.0,1866.3536871018803,3.0,11.0,539.8500061,0.12333333266666667,60.0,48.0,2.0
3.0,4.0,2.0,2269.813804986451,2.0,2.0,699.960022,0.1099999975,60.0,60.0,-2.0
3.0,4.0,4.0,629.9711182393345,5.0,9.0,1299.91002658,0.10400000039999999,60.0,60.0,0.0
3.0,4.0,5.0,2273.1327112993126,3.0,9.0,729.9100189000001,0.07000000199999999,60.0,60.0,1.0
3.0,4.0,6.0,1483.8692409734674,3.0,6.0,859.9200287,0.12333333366666667,60.0,60.0,2.0
2.0,2.0,2.0,2294.744125089321,1.0,1.0,39.99000168,0.090000004,60.0,60.0,0.0
0.0,0.0,0.0,3476.7390524848247,4.0,4.0,1151.93003468,0.062500001,60.0,60.0,1.0
0.0,0.0,0.0,1598.5298058700073,4.0,9.0,1149.930008,0.09000000175,60.0,120.0,1.0
0.0,0.0,0.0,1401.6549792898427,4.0,6.0,699.92001724,0.07250000000000001,60.0,60.0,1.0
2.0,2.0,6.0,2272.9414572611363,3.0,10.0,577.8499985,0.203333333,60.0,120.0,4.0
3.0,4.0,2.0,1118.8916228084015,1.0,4.0,239.9600067,0.01,60.0,120.0,-2.0
3.0,4.0,3.0,2683.7941258335,2.0,6.0,379.9900055,0.20499999800000002,60.0,120.0,-1.0
3.0,4.0,4.0,3525.5388890081895,1.0,4.0,399.9599915,0.180000007,60.0,120.0,0.0
3.0,4.0,6.0,2272.0429184502746,5.0,14.0,959.8600005999999,0.1680000036,60.0,48.0,2.0
3.0,4.0,2.0,2271.081067264216,2.0,9.0,449.81999210000004,0.1100000015,60.0,48.0,-2.0
3.0,4.0,3.0,2271.2231941632263,2.0,4.0,195.9900055,0.16,60.0,48.0,-1.0
3.0,4.0,5.0,2592.084918557077,3.0,9.0,439.90999978,0.04,60.0,120.0,1.0
3.0,4.0,6.0,1226.9418938850554,2.0,2.0,459.97001267999997,0.0250000005,60.0,60.0,2.0
3.0,4.0,2.0,2271.031518039608,3.0,3.0,729.960022,0.11333333433333333,60.0,60.0,-2.0
3.0,4.0,3.0,1474.9962532699733,5.0,16.0,993.8900069599999,0.0679999996,61.0,60.0,-1.0
3.0,4.0,4.0,2268.1098742497975,1.0,1.0,129.9900055,0.090000004,61.0,60.0,0.0
3.0,4.0,5.0,2269.9328819175307,5.0,7.0,939.93002708,0.0859999992,61.0,60.0,1.0
2.0,2.0,2.0,2267.6035954578765,3.0,7.0,369.93999476,0.056666666000000004,61.0,60.0,0.0
3.0,4.0,3.0,1317.038675173691,1.0,4.0,159.9600067,0.180000007,61.0,60.0,-1.0
3.0,4.0,4.0,3501.6591635659256,3.0,8.0,699.9300232,0.09666666666666668,61.0,60.0,0.0
3.0,4.0,5.0,1565.3993434731606,4.0,13.0,689.81999966,0.1875,61.0,48.0,1.0
3.0,4.0,6.0,1591.571270894384,1.0,1.0,199.9900055,0.180000007,61.0,60.0,2.0
3.0,4.0,2.0,3300.3208354424364,4.0,8.0,794.9000244199999,0.04750000050000001,61.0,48.0,-2.0
3.0,4.0,5.0,2269.9422317600347,2.0,7.0,349.95999908,0.1700000015,61.0,48.0,1.0
3.0,4.0,6.0,500.4976157181596,4.0,5.0,931.9500217699999,0.05750000075,61.0,48.0,2.0
3.0,4.0,2.0,792.4162862025895,5.0,12.0,1059.9100189,0.0439999998,61.0,120.0,-2.0
1.0,1.0,2.0,2273.8694560459376,2.0,6.0,519.9399949,0.1100000015,61.0,120.0,1.0
1.0,1.0,2.0,2270.5658896440764,5.0,11.0,779.89001844,0.0820000008,61.0,120.0,1.0
1.0,1.0,2.0,2269.150313883783,1.0,1.0,39.99000168,0.07,61.0,120.0,1.0
1.0,1.0,2.0,1639.6737244740605,3.0,3.0,529.9700164999999,0.12000000100000001,61.0,120.0,1.0
1.0,1.0,2.0,2609.7706500041127,4.0,9.0,919.9300232,0.08749999950000001,61.0,120.0,1.0
1.0,1.0,2.0,1273.7067222985654,2.0,7.0,495.92999272,0.1049999985,61.0,120.0,1.0
1.0,1.0,2.0,2273.39393281286,5.0,10.0,799.87001422,0.1300000016,61.0,120.0,1.0
3.0,4.0,5.0,3122.2309218752803,4.0,15.0,709.8999939,0.10500000250000001,61.0,120.0,1.0
3.0,4.0,6.0,624.0712897195239,1.0,2.0,100.0,0.180000007,61.0,120.0,2.0
3.0,4.0,2.0,2273.6920842123545,4.0,5.0,559.9300194,0.12750000025,61.0,120.0,-2.0
3.0,4.0,3.0,2273.6210263010976,3.0,4.0,351.96000867,0.13666666466666666,61.0,120.0,-1.0
3.0,4.0,5.0,3124.3610967233717,2.0,3.0,89.970003131,0.110000003,61.0,120.0,1.0
3.0,4.0,6.0,3168.5384067641935,1.0,1.0,399.980011,0.180000007,61.0,120.0,2.0
3.0,4.0,2.0,2274.2673005939337,3.0,8.0,739.9100189000001,0.12333333233333334,61.0,120.0,-2.0
3.0,4.0,3.0,2271.4181249976086,5.0,10.0,799.9100189000001,0.089999999,61.0,120.0,-1.0
3.0,4.0,4.0,2274.164875731239,4.0,11.0,713.8900223,0.14250000425,61.0,120.0,0.0
3.0,4.0,5.0,2270.741558974613,4.0,7.0,829.88002776,0.14750000275,61.0,120.0,1.0
0.0,0.0,0.0,2299.8208993071366,4.0,13.0,829.8600006,0.07249999875,61.0,120.0,0.0
3.0,4.0,2.0,1864.8142349853604,3.0,3.0,739.95002368,0.129999999,61.0,48.0,-2.0
3.0,4.0,3.0,2271.113628522531,3.0,4.0,329.97000886,0.09000000000000001,61.0,48.0,-1.0
3.0,4.0,4.0,2299.8208993071366,5.0,7.0,1179.89003185,0.0979999992,61.0,48.0,0.0
3.0,4.0,5.0,2273.013888191306,4.0,5.0,679.91001512,0.064999998,61.0,48.0,1.0
1.0,1.0,2.0,2272.7283926749965,1.0,1.0,399.980011,0.100000001,61.0,120.0,1.0
2.0,2.0,3.0,3135.148423981304,4.0,8.0,999.92002108,0.08749999775,61.0,48.0,1.0
3.0,4.0,4.0,3461.511914294691,2.0,5.0,299.90999606,0.0299999995,61.0,48.0,0.0
2.0,2.0,5.0,1578.7540624632754,4.0,8.0,899.9700164999999,0.08000000025000001,61.0,120.0,3.0
3.0,4.0,6.0,2273.5820247004,2.0,8.0,479.9200134,0.164999999,61.0,120.0,2.0
3.0,4.0,2.0,2288.0878280635634,1.0,1.0,129.9900055,0.180000007,61.0,120.0,-2.0
3.0,4.0,3.0,3170.0934672405874,4.0,5.0,499.9600144,0.06500000025,61.0,60.0,-1.0
3.0,4.0,4.0,2139.2581252421264,4.0,5.0,649.95000456,0.07249999825,61.0,60.0,0.0
3.0,4.0,5.0,2273.3061664583797,3.0,9.0,469.9800034,0.10999999733333334,61.0,60.0,1.0
2.0,2.0,6.0,2268.5156770782305,4.0,12.0,879.8099976,0.0925,61.0,48.0,4.0
3.0,4.0,2.0,3521.6182952040717,5.0,7.0,589.9100151,0.1300000026,61.0,120.0,-2.0
2.0,2.0,3.0,3520.0491610021854,3.0,9.0,509.9400024,0.11333333699999999,61.0,120.0,1.0
2.0,2.0,5.0,1570.6424310910827,3.0,7.0,409.9400101,0.13333333533333333,61.0,120.0,3.0
3.0,4.0,6.0,2585.7903559136503,2.0,7.0,449.9799957,0.1400000005,61.0,120.0,2.0
3.0,4.0,3.0,1031.9821837235688,4.0,12.0,879.8600159,0.13000000375,61.0,120.0,-1.0
3.0,4.0,4.0,1311.5212254977628,1.0,2.0,100.0,0.150000006,61.0,60.0,0.0
3.0,4.0,5.0,2299.9945418252873,3.0,7.0,899.9200287,0.033333334,61.0,60.0,1.0
1.0,1.0,2.0,3553.9017564875194,5.0,12.0,629.9400024,0.099999999,61.0,120.0,1.0
1.0,1.0,2.0,2106.994431122593,1.0,1.0,199.9900055,0.039999999,61.0,120.0,1.0
1.0,1.0,2.0,2272.2730697862153,1.0,3.0,299.9700012,0.25,61.0,120.0,1.0
1.0,1.0,2.0,2273.537016143038,2.0,4.0,239.96000288000002,0.08499999800000001,61.0,60.0,1.0
3.0,4.0,5.0,2268.430105951918,1.0,3.0,150.0,0.02,61.0,60.0,1.0
3.0,4.0,2.0,2299.766230264567,5.0,12.0,889.8700026800001,0.1439999996,61.0,60.0,-2.0
3.0,4.0,3.0,3144.969128930782,1.0,4.0,191.9600067,0.090000004,61.0,60.0,-1.0
3.0,4.0,4.0,2272.2255609191307,3.0,3.0,629.960022,0.08,61.0,120.0,0.0
0.0,0.0,0.0,669.4561153331051,3.0,3.0,459.96001054,0.07333333533333333,61.0,120.0,1.0
0.0,0.0,0.0,1298.2753413589012,4.0,13.0,1029.8900299,0.13499999775,61.0,120.0,1.0
0.0,0.0,0.0,468.43965822591883,2.0,3.0,209.97000886,0.1250000035,56.0,225.0,0.0
3.0,4.0,4.0,3553.9017564875194,4.0,16.0,735.88000864,0.082500001,56.0,225.0,0.0
3.0,4.0,5.0,2267.6035954578765,1.0,2.0,199.9799957,0.100000001,56.0,120.0,1.0
3.0,4.0,6.0,2272.1642317435235,1.0,1.0,129.9900055,0.090000004,56.0,120.0,2.0
3.0,4.0,2.0,1577.442595366639,4.0,11.0,989.8500213,0.09000000175,56.0,120.0,-2.0
3.0,4.0,3.0,2274.0643236740543,1.0,5.0,299.9500122,0.180000007,56.0,225.0,-1.0
2.0,2.0,4.0,2273.460534762055,4.0,9.0,569.86000444,0.11500000175,56.0,46.0,2.0
2.0,2.0,5.0,2299.804956501214,5.0,10.0,1349.83002094,0.0840000008,56.0,120.0,3.0
3.0,4.0,6.0,2268.3044772245657,2.0,2.0,329.980011,0.04,56.0,225.0,2.0
3.0,4.0,2.0,7276.402406628529,3.0,3.0,389.97001267999997,0.06333333133333334,56.0,225.0,-2.0
2.0,2.0,3.0,2272.336804597008,5.0,9.0,1089.89002608,0.0479999998,56.0,225.0,1.0
2.0,2.0,4.0,3539.786234952772,1.0,1.0,99.98999786,0.25,56.0,225.0,2.0
3.0,4.0,5.0,2270.1695729455337,5.0,10.0,1229.9000092,0.1559999986,56.0,120.0,1.0
3.0,4.0,6.0,2271.3968579091397,2.0,8.0,265.91999812,0.0299999995,56.0,225.0,2.0
3.0,4.0,3.0,1470.0079797694261,5.0,8.0,1299.8600311999999,0.1280000016,56.0,120.0,-1.0
3.0,4.0,4.0,2272.0583513140914,3.0,6.0,419.9400177,0.059999998,56.0,120.0,0.0
3.0,4.0,5.0,3517.8341922128607,3.0,10.0,609.84000398,0.08999999766666666,56.0,120.0,1.0
3.0,4.0,6.0,2063.2860528836354,1.0,5.0,199.9499969,0.25,56.0,225.0,2.0
1.0,1.0,2.0,2272.954327831899,2.0,3.0,139.9600029,0.10000000349999999,56.0,225.0,1.0
3.0,4.0,3.0,2268.806345580449,4.0,10.0,674.8800201,0.10999999975000001,56.0,225.0,-1.0
3.0,4.0,5.0,2271.4772776946447,1.0,1.0,39.99000168,0.050000001,56.0,120.0,1.0
3.0,4.0,6.0,3164.241144259309,3.0,3.0,544.9600181799999,0.10000000033333334,56.0,225.0,2.0
3.0,4.0,2.0,2270.0436511599287,2.0,2.0,439.97001267999997,0.1449999995,56.0,120.0,-2.0
3.0,4.0,3.0,1359.0692487428096,3.0,3.0,479.95001604,0.063333334,56.0,120.0,-1.0
3.0,4.0,4.0,1579.938430785702,2.0,6.0,449.9900055,0.129999995,56.0,225.0,0.0
2.0,2.0,5.0,582.7970945497693,4.0,9.0,1019.9000321,0.182499999,56.0,225.0,3.0
2.0,2.0,6.0,2271.9698144985578,1.0,1.0,44.99000168,0.119999997,56.0,120.0,4.0
2.0,2.0,2.0,1365.2746550143602,2.0,2.0,229.98000336,0.1000000015,56.0,120.0,0.0
